Commit A,Commit B,Benchmark,Del Func >= X,New Func >= X,Reached Del Func >= X,Top Chg by Call >= X%,Top > X% by Call Chg by >= 10%,Top Chg Len >= X%,Top Reached Chg Len >= X%,AltCountLineBlank,CountLineInactive,MaxCyclomaticStrict,MaxNesting,AvgLineCode,AvgLineComment,Hit
0e6d899f,fa675ebd,p5550-fetch-tags.sh-perf-report,233,398,20,0.02,0.01,1,1,-1004,-513,-7,0,-0.314401122,0.040879809,FALSE
0e6d899f,fa675ebd,p7000-filter-branch.sh-perf-report,233,398,20,3.27,3.27,1,1,-1004,-513,-7,0,-0.314401122,0.040879809,FALSE
0e6d899f,fa675ebd,p7300-clean.sh-perf-report,233,398,3,0.44,0.12,1,1,-1004,-513,-7,0,-0.314401122,0.040879809,FALSE
0e6d899f,fa675ebd,p7810-grep.sh-perf-report,233,398,3,0.04,0.04,1,1,-1004,-513,-7,0,-0.314401122,0.040879809,FALSE
4fa66c85,90117bda,p0002-read-cache.sh-perf-report,42,40,0,0,0,1,0,51,0,0,0,-0.038477454,0.002912547,TRUE
87cb7997,694c76f5,p0002-read-cache.sh-perf-report,40,42,0,0,0,1,0,-51,0,0,0,0.038477454,-0.002912547,TRUE
28e1aaa4,3ec80449,p0000-perf-lib-sanity.sh-perf-report,2005,1039,11,0.11,0.11,1,1,4905,606,7,0,0.662728913,-0.053552753,FALSE
28e1aaa4,3ec80449,p0001-rev-list.sh-perf-report,2005,1039,21,12.77,12.77,1,1,4905,606,7,0,0.662728913,-0.053552753,FALSE
28e1aaa4,3ec80449,p0002-read-cache.sh-perf-report,2005,1039,0,0,0,1,0,4905,606,7,0,0.662728913,-0.053552753,FALSE
28e1aaa4,3ec80449,p0003-delta-base-cache.sh-perf-report,2005,1039,37,7.42,6.27,1,1,4905,606,7,0,0.662728913,-0.053552753,FALSE
28e1aaa4,3ec80449,p0005-status.sh-perf-report,2005,1039,10,0.57,0.57,1,1,4905,606,7,0,0.662728913,-0.053552753,FALSE
